,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
The Little Prince,102,877,257,229,335,416,518,50,178,561,48,1486,117,792,157
The Glass Castle,179,1068,3561,317,7131,8843,2363,4527,87,737,2702,7239,8176,1897,333
Into the Wild,179,181,1586,9100,316,5833,81,878,5944,1048,4197,8843,87,3024,2770
A Tale of Two Cities,160,361,590,5907,204,58,116,109,778,650,413,71,498,10,103
"Jurassic Park (Jurassic Park, #1)",70,760,1448,209,274,3739,1176,307,628,123,910,222,6113,1003,9082
The Giving Tree,157,358,545,364,391,102,549,251,59,184,1348,998,296,444,661
A Time to Kill,521,966,5080,3240,3841,726,404,2639,7716,222,628,266,209,9901,3507
Night (The Night Trilogy #1),15,4,1815,513,241,271,4043,762,317,472,1068,7297,737,6884,523
Paper Towns,564,2908,68,1244,147,3919,3372,867,382,830,3045,4930,993,1767,7220
The Princess Bride ,817,1322,877,792,8210,4902,6898,7401,9308,6756,9483,6876,7298,7266,1108
The Outsiders,4,87,271,5260,77,245,32,3169,59,241,321,4541,7806,577,1038
"The Maze Runner (Maze Runner, #1)",327,12,6901,5662,2799,7057,69,5308,4024,713,6861,17,4705,1002,5660
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",127,193,8084,1371,4699,3227,211,398,4341,1344,2465,688,878,6603,9249
The Secret Garden,540,42,59,346,639,497,8740,518,133,1253,1327,204,826,1210,1695
One Hundred Years of Solitude,1853,233,3387,2419,3903,5116,669,95,597,6818,498,2304,1393,3255,1312
The Picture of Dorian Gray,97,1354,390,14,48,298,1204,71,65,1327,518,229,4183,512,55
"Fifty Shades Freed (Fifty Shades, #3)",334,218,1143,796,1981,3081,2106,3863,6098,1295,2276,3549,5266,1893,1134
Dracula,390,1354,95,71,1204,2370,1327,529,298,4183,103,512,1178,5581,699
"The Girl Who Played with Fire (Millennium, #2)",1173,5819,7752,5302,3010,459,9444,431,4269,8407,417,7625,6872,4714,8583
"Fifty Shades Darker (Fifty Shades, #2)",334,3081,218,1143,2106,3863,796,1981,7682,1773,7488,1295,2333,1036,7322
The Poisonwood Bible,33,265,57,47,734,118,468,317,11,148,273,198,3844,662,925
Me Talk Pretty One Day,8045,106,1839,2770,1976,1856,775,574,2321,290,4418,7592,1672,4836,8867
Where the Wild Things Are,888,85,157,545,905,296,391,335,364,1348,998,444,2095,999,50
The Count of Monte Cristo,413,109,116,204,778,1327,1953,361,95,375,97,2600,58,1178,293
The Road,13,948,2079,2975,6454,4100,1462,9287,6256,9720,28,168,196,3600,6413
"Allegiant (Divergent, #3)",7975,2799,280,91,254,4572,452,4705,7452,525,259,20,5597,6773,926
Bossypants,290,1044,352,1942,3885,3822,4824,8515,2335,852,9064,6245,534,3618,745
A Walk to Remember,269,64,1749,5305,674,1130,112,455,381,647,78,4360,9356,694,6948
"Confessions of a Shopaholic (Shopaholic, #1)",78,228,777,1430,1111,156,455,5305,3891,4562,830,552,3778,1130,1669
Les Misérables,778,42,103,204,83,1064,413,650,1178,93,66,10,116,265,95
"A Clash of Kings  (A Song of Ice and Fire, #2)",3298,7127,4708,192,3282,307,7986,2669,3278,4182,2954,2382,6891,1018,8401
The Memory Keeper's Daughter,57,5925,414,273,9627,381,2820,1231,1131,1317,848,1361,6806,33,5617
"Me Before You (Me Before You, #1)",1568,2450,64,438,1499,318,1130,939,262,6789,567,2796,4141,235,267
Catch-22,65,264,395,1161,32,130,225,297,14,131,401,13,2601,129,1073
Tuesdays with Morrie,784,132,1440,199,329,1897,7849,6829,9482,6348,269,8724,8053,2063,2844
Middlesex,2124,948,930,662,919,9990,476,704,378,638,326,3237,1845,7002,6413
The Adventures of Tom Sawyer,58,375,413,1178,204,293,103,935,1650,361,478,730,1327,42,1695
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",561,93,540,3120,793,738,877,59,2954,219,545,332,335,826,77
The Joy Luck Club,273,57,3038,33,860,5648,515,11,461,272,2023,198,2578,409,734
The Handmaid's Tale,48,55,809,2187,13,846,297,8995,3237,1205,1628,4047,65,6199,36
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",4669,8225,7626,7880,8298,4919,3160,8734,2725,8073,443,5391,615,7759,6201
Lolita,264,483,65,401,3321,4974,3255,323,701,709,5,3210,1184,2809,4504
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",4317,2192,1528,8241,6602,8557,1039,3174,742,598,2102,8287,38,2756,45
"The Firm (Penguin Readers, Level 5)",521,966,3240,5080,726,1150,222,628,3841,2242,4533,2639,3367,588,1448
Room,2251,4335,262,235,9674,6213,30,8574,9437,5012,438,678,6479,4141,8590
Hamlet,353,714,154,839,770,248,456,29,855,1885,3948,5540,715,530,387
Dune (Dune Chronicles #1),276,360,432,1223,1520,729,5055,1019,70,1800,298,3978,8893,4976,48
The Tipping Point: How Little Things Can Make a Big Difference,92,1371,4744,4699,398,1621,5761,2465,4356,7111,236,5723,7967,3207,4309
Steve Jobs,4803,6583,7693,4536,2139,8943,3152,6363,5663,2335,8417,5682,2290,1601,4904
One Flew Over the Cuckoo's Nest,65,191,4016,591,173,297,6181,48,95,846,1393,271,7079,32,5260
The Old Man and the Sea,2601,301,730,14,32,28,1161,113,58,95,116,194,529,71,131
The Grapes of Wrath,650,58,4,116,83,395,28,1094,113,130,1411,899,265,109,160
The Five People You Meet in Heaven,114,3160,9473,348,1847,2450,5742,329,4736,2902,1471,2194,240,5016,4496
"Anne of Green Gables (Anne of Green Gables, #1)",93,540,639,544,59,681,740,2648,42,1489,3234,1956,184,444,4296
"City of Glass (The Mortal Instruments, #3)",3704,6834,9136,7097,393,2850,5597,6597,4226,7315,1505,3702,4409,830,3749
"A Storm of Swords (A Song of Ice and Fire, #3)",4708,3298,7127,7986,3282,307,4006,192,8401,6891,2954,2382,877,4182,6738
Divine Secrets of the Ya-Ya Sisterhood,228,78,57,409,75,2023,273,5397,381,33,515,64,9356,4129,925
"Outlander (Outlander, #1)",3143,7247,1961,5052,4471,66,6667,33,9770,6676,5434,9663,9409,7165,7497
The Scarlet Letter,2240,387,1566,58,29,730,715,468,154,160,2578,498,3169,63,456
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",5956,9976,6981,5345,8123,7773,2941,7799,8003,1944,1637,1770,6040,3968,1745
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",1173,5819,5302,7752,3010,9444,459,9637,431,6872,4714,8583,7625,9492,4269
The Martian,1341,6152,862,9470,2904,4246,9217,5442,1808,562,4696,7128,8705,3341,7945
"The Pillars of the Earth (The Kingsbridge Series, #1)",33,3772,1581,4113,2942,734,265,273,6396,192,186,66,307,2411,57
All the Light We Cannot See,1539,359,437,3228,2840,144,1256,2598,7305,8036,6521,267,9205,291,1192
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",610,513,7360,7297,143,2788,3606,1241,7902,8576,9064,3604,87,8353,2305
Deception Point,4681,2989,6690,6002,6551,8631,7932,7761,227,3537,6113,1564,343,1864,1150
The Goldfinch,143,4178,4697,5161,1174,6799,2037,4388,8690,4856,1915,7441,779,7673,4685
Thirteen Reasons Why,74,1421,564,149,2908,8170,68,1575,1244,1919,164,541,1297,615,1583
Girl with a Pearl Earring,3352,7418,1466,33,273,1011,1171,733,5182,6291,6951,925,57,5648,734
"If I Stay (If I Stay, #1)",348,2838,2454,921,827,2450,147,2908,1002,7252,2941,8170,3655,3283,4804
The Red Tent,1011,1909,57,11,67,46,2114,567,1171,148,5932,3091,33,31,47
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4911,4449,1504,3295,9331,8270,1399,3350,3117,1353,3974,5405,9636,6780,3319
Dear John,674,269,1749,647,1417,694,5305,4360,2378,455,64,1430,4353,1103,3042
"City of Ashes (The Mortal Instruments, #2)",3704,2850,9136,393,4226,1505,3702,5597,6834,7315,7514,7097,6597,5579,830
Macbeth,125,387,29,839,248,456,770,824,2052,715,1454,1521,4149,5540,427
"The Two Towers (The Lord of the Rings, #2)",466,4410,4445,2230,4229,2125,3120,103,518,611,192,877,413,95,699
"Something Borrowed (Darcy & Rachel, #1)",465,78,1111,310,1417,777,228,1430,64,420,3011,3997,44,75,1107
Green Eggs and Ham,251,798,1348,358,85,364,391,545,102,278,50,296,3274,2095,2176
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",59,444,868,545,999,2315,793,93,1497,826,1253,50,738,1222,2648
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4449,4911,5405,8270,1353,1504,3974,7218,6244,3350,9331,774,3414,9636,4599
Great Expectations,83,590,361,63,961,58,650,498,116,10,451,109,171,2190,3323
"The Return of the King (The Lord of the Rings, #3)",466,4410,4445,2230,3120,4229,2125,518,103,611,877,8893,192,3230,1659
The Stranger,872,2024,614,1624,1015,1364,4106,3020,4584,213,3508,65,177,576,2297
"The Lost Hero (The Heroes of Olympus, #1)",4449,4911,8270,1353,5405,4599,581,7218,774,6244,5118,5107,9053,1504,3677
Eleanor & Park,5105,1767,837,940,2908,6466,5900,5320,8044,2962,9569,3345,3723,7915,475
"A Feast for Crows (A Song of Ice and Fire, #4)",3298,7127,2669,3278,7986,4708,6891,2382,3282,307,4182,1964,8592,9331,192
"Matched (Matched, #1)",525,1118,2294,280,1413,6266,6773,1276,4572,2377,5544,3328,9567,3901,2799
"American Gods (American Gods, #1)",283,312,3521,8893,8841,9424,3055,1629,766,70,1591,6891,8320,5923,3395
The Stand,176,488,1292,739,243,4885,237,1868,1248,72,349,1123,5949,209,915
The Last Song,1130,5451,674,1749,1417,4360,3912,7542,6028,2222,4655,830,5305,7881,5862
Digital Fortress,6690,2989,640,1057,343,6551,227,6002,1117,7761,8631,4681,1564,5564,1864
Emma,230,10,451,471,76,42,43,997,4653,160,93,829,899,8740,2499
Anna Karenina,498,2709,899,2240,2419,468,4684,829,9281,7620,4866,1509,3523,4104,2190
A Clockwork Orange,13,65,55,297,129,809,846,48,2098,3131,788,4016,592,1364,191
The Shack,903,51,2410,5867,4562,1697,1918,3576,4316,73,1801,505,423,2902,3745
"The Last Olympian (Percy Jackson and the Olympians, #5)",4449,4911,5405,8270,1353,774,7218,6244,4599,3350,1504,9331,3974,5118,581
It,168,1292,865,1987,915,705,731,209,5188,4885,1795,1288,3735,2668,1132
Crime and Punishment,1041,485,2177,4104,1364,2131,4106,1518,9561,498,8704,3377,4284,9123,1561
The Bell Jar,95,48,80,55,1444,557,271,2328,664,65,483,13,68,317,129
"Angela's Ashes (Frank McCourt, #1)",81,317,82,1068,8843,737,5394,87,3561,181,4527,765,2288,2247,265
Siddhartha,3085,2097,498,899,162,1015,1161,576,6195,9864,4605,95,65,9623,846
In Cold Blood,975,8323,2592,6932,6693,5225,82,538,217,5518,2346,2724,4,87,179
"Beautiful Creatures (Caster Chronicles, #1)",1425,8958,2201,4204,5857,5224,4572,5757,4393,536,3340,8827,3245,1917,3592
"Clockwork Angel (The Infernal Devices, #1)",3704,7097,9136,6834,6597,393,884,2850,4226,7535,12,8082,5156,7164,4409
Matilda,59,868,545,444,1383,999,2597,50,85,2750,793,7468,786,1373,2315
The Night Circus,2899,1474,5409,760,2558,8643,7454,2293,742,4193,1018,2587,2533,598,2299
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",33,4113,642,273,7775,142,9113,1757,78,4129,1961,6951,7458,66,148
"Uglies (Uglies, #1)",280,711,2711,6952,383,91,1290,1018,5890,185,2293,8643,327,1,6861
"A Dance with Dragons (A Song of Ice and Fire, #5)",4006,4708,3282,7300,2006,6557,8592,4173,3298,7560,5085,1546,8087,7197,5344
"The Lord of the Rings (The Lord of the Rings, #1-3)",4445,2230,2125,3120,466,877,518,192,103,4182,4275,95,8460,8893,1695
Wild: From Lost to Found on the Pacific Crest Trail,8843,4824,2565,3561,7768,5394,3822,1156,9203,9700,9847,534,2335,1942,5658
Watchmen,1950,568,6445,129,365,2760,3248,2300,532,3995,1800,490,8117,4064,1380
"The Name of the Wind (The Kingkiller Chronicle, #1)",389,4182,8460,746,7788,8154,6891,377,565,9331,5672,5414,3601,3319,9424
Outliers: The Story of Success,92,1371,1621,4309,878,7111,508,5255,537,4699,2444,9432,398,1761,9249
"Moby-Dick or, The Whale",2601,130,529,597,58,395,83,1434,71,113,778,3755,79,301,116
The Guernsey Literary and Potato Peel Pie Society,906,396,31,4068,513,3143,2598,57,6009,273,1051,2367,4848,7714,437
Fight Club,3131,326,13,788,768,1176,809,274,1586,8095,48,570,4963,7311,55
"Dead Until Dark (Sookie Stackhouse, #1)",4233,5697,1966,4340,9415,9730,3477,9339,9316,2278,6725,5928,53,8236,1948
The Color Purple,317,468,5260,860,664,272,523,118,4,225,734,620,6591,265,3523
Marley and Me: Life and Love With the World's Worst Dog,8053,5454,114,994,1897,9629,6495,5658,1515,8691,9193,5798,6885,4606,8528
And Then There Were None,9469,1325,514,5167,618,671,1892,726,1176,2988,3292,769,9902,6295,9476
"The Lost Symbol (Robert Langdon, #3)",7761,4962,7139,6690,7508,6192,3803,2822,2989,5764,1864,7351,2995,4263,242
"Hush, Hush (Hush, Hush, #1)",224,2410,600,945,1559,6178,1276,6004,2974,8749,6016,6834,2282,7674,5223
"Beautiful Disaster (Beautiful, #1)",812,539,334,1036,1773,1295,2185,3004,3434,965,938,1165,644,962,1134
A Christmas Carol,361,116,103,3323,83,93,42,590,1178,413,1327,58,109,293,2168
"Interview with the Vampire (The Vampire Chronicles, #1)",9044,8194,8683,9334,1382,97,8745,6076,4798,9498,8460,417,8132,1944,2836
"The Selection (The Selection, #1)",1523,2364,12,1045,536,6004,1737,259,2880,5308,5662,4705,69,2457,830
"One for the Money (Stephanie Plum, #1)",1232,2094,2354,9704,4892,5781,4794,7126,7380,1872,7241,7318,4626,4134,8822
The Immortal Life of Henrietta Lacks,1851,1577,2788,3491,754,852,4725,5269,398,7259,317,5664,550,4115,5545
"The Silence of the Lambs  (Hannibal Lecter, #2)",726,6376,9832,1176,72,274,975,7601,168,2668,176,243,739,768,237
"Vampire Academy (Vampire Academy, #1)",5308,504,2319,581,4226,2956,2417,3852,6267,4817,7697,393,6433,2377,2358
Blink: The Power of Thinking Without Thinking,1371,4744,92,4356,5761,2444,4117,4699,2220,4649,6605,4309,398,1621,4417
Atonement,820,1005,264,1681,113,1435,2600,453,2107,217,3076,5737,5,2124,8664
The Metamorphosis,162,614,2297,4939,4016,1364,3755,3020,65,3482,177,934,95,1624,3508
"The Titan's Curse (Percy Jackson and the Olympians, #3)",4911,4449,8270,5405,1504,9331,1353,3350,3974,1399,6780,7218,6244,9636,3414
Ready Player One,5575,5186,4864,9739,5040,6640,9701,6730,1341,4674,141,6309,8487,4903,5901
The Art of Racing in the Rain,8691,1471,8528,7154,7403,67,46,11,333,8902,6,459,5932,2292,749
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",6693,8323,181,2950,2175,4153,2592,7738,5518,4811,3488,5225,3135,1514,5849
"Bared to You (Crossfire, #1)",2483,3549,796,1143,1104,7051,3863,6098,5266,1209,96,2276,7322,8684,4373
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",332,347,37,641,117,1196,362,1937,1253,2648,4242,158,493,59,93
Twilight: The Complete Illustrated Movie Companion,834,52,992,49,3,2021,3075,1619,954,732,56,4088,5245,2331,8480
"A Child Called ""It"" (Dave Pelzer #1)",5394,3811,7129,6939,5798,8843,6637,4274,6885,4527,7131,737,2010,9094,1234
"The Bourne Identity (Jason Bourne, #1)",288,3709,628,989,123,726,966,882,2203,274,785,7868,1448,209,1150
"Artemis Fowl (Artemis Fowl, #1)",377,1298,666,1155,9424,3319,1869,6189,4445,9331,322,2619,314,192,2291
"Fallen (Fallen, #1)",434,202,8749,1830,583,4393,1122,415,1861,981,2038,1276,1971,2687,2529
East of Eden,4,265,413,650,66,116,395,109,14,103,95,48,846,65,1094
Dark Places,2617,1941,2396,262,801,61,2307,1176,5080,4131,209,9396,7265,4700,9942
The Client,521,966,3240,5080,1448,1150,2774,726,3750,2596,3841,6151,2639,3367,9144
"The Nanny Diaries (Nanny, #1)",78,136,5397,1457,75,455,1430,1111,156,1468,3016,2610,465,108,9497
Alice's Adventures in Wonderland & Through the Looking-Glass,257,518,826,792,95,1327,4291,4271,346,877,2125,561,1108,1695,4445
Persuasion,171,10,451,471,76,42,43,997,93,8740,2499,4653,1771,829,1114
Sarah's Key,3772,1300,4062,1051,300,2796,1216,273,396,482,3604,642,7775,333,3724
"The Gunslinger (The Dark Tower, #1)",725,806,1053,936,2713,1698,915,7127,168,1248,1292,2412,917,7446,7015
Love in the Time of Cholera,2419,94,3703,7277,2190,8782,9247,1509,3387,3903,653,4602,1161,7783,8589
Speak,5260,3723,8170,77,8543,2787,2980,2695,9471,2148,1038,7345,36,2725,4815
The Husband's Secret,940,313,939,2872,2617,2350,8900,613,8273,6355,2856,4900,459,112,1990
Into Thin Air: A Personal Account of the Mount Everest Disaster,2436,1927,9100,767,6654,7302,1048,179,7396,8843,994,9690,6750,3548,5701
Carrie,1292,705,865,1715,1132,731,578,1868,5188,168,1987,97,1795,915,4885
Running with Scissors,2288,81,1068,383,179,3811,895,2252,6829,1978,4527,4391,1839,2925,3561
World War Z: An Oral History of the Zombie War,6555,2819,742,1628,70,7765,8643,4995,3319,1179,2043,442,429,1019,192
"Inferno (Robert Langdon, #4)",7139,7821,811,8335,7004,2989,3005,6690,7761,2478,5715,4837,3553,2717,3841
Number the Stars,77,245,321,793,59,853,7806,594,1742,87,740,15,738,3886,300
"Along Came a Spider (Alex Cross, #1)",2214,3163,1260,2354,1534,4813,7463,5314,2261,6237,3162,1763,5129,5834,3098
Misery,705,1292,1075,1987,578,865,1795,915,5188,168,1288,5763,3735,2668,209
Sharp Objects,5080,1176,7601,4066,4700,209,9348,262,1941,6835,8492,124,4131,1328,242
Bridge to Terabithia,59,77,321,241,793,386,577,335,999,158,184,621,738,1373,1222
"Marked (House of Night, #1)",2593,3289,981,3783,5473,1387,4425,1971,3165,2038,1540,6578,1724,1830,2951
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,3413,260,1157,932,4748,1750,2660,680,1188,6570,1078,3129,4404,1507,9292
A Midsummer Night's Dream,530,839,855,1885,353,125,773,427,714,3948,5540,154,1454,29,7353
Extremely Loud and Incredibly Close,45,74,2914,867,564,5177,3856,570,522,9632,3134,2005,88,275,47
Wonder,6710,7181,1558,3164,1047,8521,9381,7305,4934,7757,77,9569,333,31,6643
The Cat in the Hat,157,85,2176,579,549,444,296,278,976,876,1488,102,545,661,1469
"Cinder (The Lunar Chronicles, #1)",9130,2626,2734,7535,842,2886,6771,7657,6537,6756,752,327,7355,1951,5308
"The Cuckoo's Calling (Cormoran Strike, #1)",4854,9931,2888,6355,1786,4144,3756,4150,4247,623,6232,1941,6946,1345,6706
"Shiver (The Wolves of Mercy Falls, #1)",1201,8443,6771,871,3875,748,1276,1273,724,1147,4821,139,1680,5697,1588
Atlas Shrugged,8688,903,4992,655,6300,4399,1517,376,1696,2857,8041,7975,1054,875,1277
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,1479,6285,2777,550,723,4233,6368,3831,7001,925,4712,4759,8539,1993,1591
Alice in Wonderland,229,518,2125,1327,826,95,4291,877,4445,4275,346,2230,427,792,1204
"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",417,5022,9717,2833,1256,6194,669,47,9424,4069,6847,457,7352,3319,4108
