,book_id,goodreads_book_id,best_book_id,work_id,books_count,authors,original_publication_year,title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,language_code,genres
41,42,1934,1934,3244642,1707,Louisa May Alcott,1868,"Little Women (Little Women, #1)",4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,eng,"['classics', 'fiction', 'historical-fiction', 'young-adult', 'romance']"
42,43,10210,10210,2977639,2568,"Charlotte Brontë, Michael Mason",1847,Jane Eyre,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,eng,"['classics', 'fiction', 'romance', 'historical-fiction']"
43,44,15931,15931,1498135,190,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)",4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,eng,"['romance', 'fiction', 'chick-lit', 'contemporary', 'classics', 'historical-fiction', 'young-adult', 'books']"
44,45,4214,4214,1392700,264,Yann Martel,2001,Life of Pi,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,eng,"['fiction', 'fantasy', 'classics', 'contemporary', 'philosophy']"
45,46,43641,43641,3441236,128,Sara Gruen,2006,Water for Elephants,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,eng,"['fiction', 'historical-fiction', 'romance', 'contemporary']"
46,47,19063,19063,878368,251,Markus Zusak,2005,The Book Thief,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,eng,"['historical-fiction', 'fiction', 'young-adult', 'classics']"
47,48,4381,4381,1272463,507,Ray Bradbury,1953,Fahrenheit 451,3.97,570498,1176240,30694,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,spa,"['classics', 'fiction', 'science-fiction', 'fantasy', 'young-adult', 'books', 'thriller', 'philosophy']"
48,49,49041,49041,3203964,194,Stephenie Meyer,2006,"New Moon (Twilight, #2)",3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,eng,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
49,50,30119,30119,30518,45,Shel Silverstein,1974,Where the Sidewalk Ends,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,eng,"['poetry', 'classics', 'fiction', 'young-adult', 'fantasy']"
50,51,256683,256683,2267189,178,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,eng,"['fantasy', 'young-adult', 'paranormal', 'romance', 'fiction']"
51,52,428263,428263,2675454,185,Stephenie Meyer,2007,"Eclipse (Twilight, #3)",3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,eng,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
52,53,113436,113436,3178011,217,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,eng,"['fantasy', 'young-adult', 'fiction']"
53,54,11,386162,3078186,257,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,1006479,20345,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,eng,"['science-fiction', 'fiction', 'fantasy', 'classics']"
54,55,5129,5129,3204877,515,Aldous Huxley,1932,Brave New World,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,eng,"['classics', 'fiction', 'science-fiction', 'fantasy', 'philosophy']"
55,56,1162543,1162543,2960529,183,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)",3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,eng,"['young-adult', 'fantasy', 'romance', 'fiction', 'paranormal']"
56,57,37435,37435,3275013,125,Sue Monk Kidd,2001,The Secret Life of Bees,4.01,916189,937393,26522,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,eng,"['fiction', 'historical-fiction', 'young-adult', 'classics', 'contemporary', 'chick-lit']"
57,58,2956,2956,1835605,2277,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,eng,"['classics', 'fiction', 'historical-fiction', 'young-adult']"
58,59,24178,24178,987048,180,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,eng,"['classics', 'fiction', 'young-adult', 'fantasy']"
59,60,1618,1618,4259809,183,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time,3.85,867553,915790,35796,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,eng,"['fiction', 'mystery', 'young-adult', 'contemporary', 'classics', 'psychology']"
60,61,22557272,22557272,41107568,14,Paula Hawkins,2015,The Girl on the Train,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,eng,"['fiction', 'mystery', 'thriller', 'crime', 'suspense', 'contemporary']"
61,62,119322,119322,1536771,287,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)",3.94,953970,994914,14915,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,eng,"['fantasy', 'young-adult', 'fiction', 'science-fiction']"
62,63,6185,6185,1565818,2498,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715m/6185.jpg,eng,"['classics', 'fiction', 'romance', 'historical-fiction']"
63,64,10917,10917,1639903,125,Jodi Picoult,2004,My Sister's Keeper,4.06,863879,887880,30719,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,eng,"['fiction', 'contemporary', 'chick-lit', 'young-adult']"
64,65,4981,4981,1683562,241,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,4.06,846488,891762,19646,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,eng,"['classics', 'fiction', 'science-fiction', 'historical-fiction', 'fantasy']"
65,66,18405,18405,3358283,409,Margaret Mitchell,1936,Gone with the Wind,4.28,873981,897303,16050,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,eng,"['classics', 'historical-fiction', 'fiction', 'romance']"
66,67,128029,128029,3271379,197,Khaled Hosseini,2007,A Thousand Splendid Suns,4.34,818742,866065,43645,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,eng,"['fiction', 'historical-fiction', 'contemporary']"
67,68,22628,22628,2236198,128,Stephen Chbosky,1999,The Perks of Being a Wallflower,4.21,888806,954905,47116,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,eng,"['young-adult', 'fiction', 'contemporary', 'romance', 'classics']"
68,69,11735983,11735983,15524542,164,Veronica Roth,2012,"Insurgent (Divergent, #2)",4.07,836362,947338,55873,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,eng,"['young-adult', 'fiction', 'fantasy', 'science-fiction', 'romance']"
69,70,375802,375802,2422333,224,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)",4.3,813439,873417,38054,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,eng,"['science-fiction', 'fiction', 'young-adult', 'fantasy', 'classics']"
70,71,18490,18490,4836639,2618,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,3.75,808589,883563,19993,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,eng,"['classics', 'fiction', 'horror', 'science-fiction', 'fantasy', 'historical-fiction', 'thriller', 'books', 'paranormal']"
71,72,11588,11588,849585,289,Stephen King,1977,The Shining (The Shining #1),4.17,791850,830881,14936,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,eng,"['horror', 'fiction', 'thriller', 'classics', 'fantasy', 'mystery', 'paranormal', 'suspense']"
72,73,1656001,1656001,3328799,161,Stephenie Meyer,2008,"The Host (The Host, #1)",3.84,749780,777560,39778,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,eng,"['young-adult', 'science-fiction', 'fantasy', 'romance', 'fiction', 'paranormal']"
73,74,99561,99561,919292,187,John Green,2005,Looking for Alaska,4.09,783470,831285,47128,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,eng,"['young-adult', 'fiction', 'contemporary', 'romance', 'mystery']"
74,75,227443,227443,3185154,193,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,754498,8157,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,eng,"['fiction', 'chick-lit', 'romance', 'contemporary']"
75,76,14935,14935,2809709,1969,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,4.06,738894,779382,11526,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,eng,"['classics', 'fiction', 'historical-fiction']"
76,77,38709,38709,1679789,138,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)",3.93,747445,764637,15832,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,eng,"['young-adult', 'fiction', 'classics', 'mystery', 'contemporary']"
77,78,5139,5139,38765,129,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,679845,8024,24231,58323,192366,226675,178250,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388179604m/5139.jpg,eng,"['chick-lit', 'fiction', 'contemporary', 'romance']"
78,79,1381,1381,3356006,1703,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,3.73,670326,710757,8101,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,eng,"['classics', 'fiction', 'poetry', 'fantasy', 'historical-fiction']"
79,80,157993,157993,2180358,1708,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,4.28,738757,859286,24537,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,eng,"['classics', 'fiction', 'fantasy', 'young-adult', 'philosophy']"
80,81,7445,7445,2944133,92,Jeannette Walls,2005,The Glass Castle,4.24,621099,637866,40777,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,eng,"['nonfiction', 'memoir', 'biography', 'contemporary']"
81,82,1845,1845,3284484,108,Jon Krakauer,1996,Into the Wild,3.94,647684,665377,17299,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,eng,"['nonfiction', 'biography', 'travel', 'classics', 'memoir']"
82,83,1953,1953,2956372,525,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,3.81,637412,677713,13093,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,eng,"['classics', 'fiction', 'historical-fiction']"
83,84,7677,6424171,3376836,176,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)",3.96,447833,650483,8143,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,spa,"['science-fiction', 'fiction', 'thriller', 'fantasy', 'horror', 'classics', 'suspense', 'science', 'contemporary', 'mystery', 'books', 'young-adult']"
84,85,370493,370493,30530,81,Shel Silverstein,1964,The Giving Tree,4.38,702332,708287,14368,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,eng,"['classics', 'fiction', 'poetry', 'young-adult', 'fantasy']"
85,86,32542,32542,1804929,158,John Grisham,1989,A Time to Kill,4.03,597775,608824,4239,12106,25938,122675,218617,229488,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1554303029m/32542.jpg,eng,"['fiction', 'mystery', 'thriller', 'crime', 'suspense']"
86,87,1617,1617,265616,109,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1),4.3,691231,707879,22001,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,eng,"['nonfiction', 'classics', 'history', 'memoir', 'biography']"
87,88,6442769,6442769,3364505,178,John Green,2008,Paper Towns,3.88,461311,655271,42717,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg,eng,"['young-adult', 'contemporary', 'fiction', 'romance', 'mystery']"
88,89,21787,21787,992628,129,William Goldman,1973,The Princess Bride ,4.25,628637,658042,15630,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,eng,"['fantasy', 'fiction', 'classics', 'romance', 'young-adult']"
89,90,231804,231804,1426690,156,S.E. Hinton,1967,The Outsiders,4.06,659248,680437,22662,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,eng,"['classics', 'young-adult', 'fiction', 'historical-fiction', 'contemporary']"
90,91,6186357,6186357,6366642,147,James Dashner,2009,"The Maze Runner (Maze Runner, #1)",4.02,719925,777956,48942,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg,eng,"['young-adult', 'science-fiction', 'fiction', 'fantasy', 'mystery']"
91,92,1202,1202,5397,124,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,549301,13668,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg,eng,"['nonfiction', 'business', 'science', 'psychology']"
92,93,2998,2998,3186437,1350,Frances Hodgson Burnett,1911,The Secret Garden,4.12,639357,692249,13054,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,eng,"['classics', 'fiction', 'young-adult', 'historical-fiction', 'fantasy']"
93,94,320,320,3295655,555,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,4.04,490565,575667,21671,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,eng,"['fiction', 'classics', 'fantasy', 'historical-fiction']"
94,95,5297,5297,1858012,2303,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,4.06,590014,674551,19647,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,eng,"['classics', 'fiction', 'horror', 'fantasy']"
95,96,13536860,13536860,18034963,133,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,610116,25287,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg,eng,"['romance', 'fiction', 'contemporary', 'chick-lit']"
96,97,17245,17245,3165724,2207,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,3.98,618973,689739,17263,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,eng,"['classics', 'horror', 'fiction', 'fantasy', 'paranormal']"
