,1,2,3,4,5,6,7,8,9,10
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",1196,561,93,540,3120,9198,793,3739,1530,738
The Joy Luck Club,848,1714,3311,273,57,3038,33,860,5648,515
The Handmaid's Tale,48,55,1405,572,809,2187,13,846,297,8995
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",1718,2054,2270,4669,8225,7626,7880,8298,4919,3160
Lolita,264,483,65,401,3321,4974,3255,323,701,709
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",2028,4317,2192,1528,8241,6602,8557,1039,3174,742
"The Firm (Penguin Readers, Level 5)",281,86,227,343,596,963,1057,833,1388,1037
Room,2251,4335,262,235,9674,6213,30,8574,9437,5012
Hamlet,353,714,154,839,770,248,456,29,855,1885
Dune (Dune Chronicles #1),276,1687,360,432,1223,1520,729,5055,1019,70
The Tipping Point: How Little Things Can Make a Big Difference,211,193,92,1371,4744,4699,398,1621,1344,5761
Steve Jobs,4803,6583,7693,4536,2139,8943,3152,6363,5663,2335
One Flew Over the Cuckoo's Nest,65,191,4016,591,173,297,6181,48,95,846
The Old Man and the Sea,395,2601,301,264,401,730,14,32,28,1161
The Grapes of Wrath,32,225,650,2601,730,58,4,1161,116,83
The Five People You Meet in Heaven,114,784,3160,9473,348,1847,2450,5742,329,4736
"Anne of Green Gables (Anne of Green Gables, #1)",1210,1112,93,540,639,958,544,59,2821,681
"City of Glass (The Mortal Instruments, #3)",153,309,319,51,607,1754,351,183,460,6977
"A Storm of Swords (A Song of Ice and Fire, #3)",110,165,1496,39,1995,188,3775,2527,8755,4708
Divine Secrets of the Ya-Ya Sisterhood,228,78,57,409,3997,75,2023,273,5397,381
"Outlander (Outlander, #1)",463,554,864,712,1026,1275,3143,7247,1723,6931
The Scarlet Letter,2240,387,1566,58,29,730,715,468,154,160
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",884,5956,9976,1948,6981,5345,8123,7773,2941,7799
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",98,16,1173,2272,5819,5302,7752,3010,9444,459
The Martian,1341,6152,862,9470,2904,4246,9217,5442,1808,562
"The Pillars of the Earth (The Kingsbridge Series, #1)",642,33,3772,1581,4113,2942,734,265,273,6396
All the Light We Cannot See,1539,359,437,3228,2840,144,1256,2598,7305,8036
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",610,513,7360,7297,143,2788,3606,1241,7902,8576
Deception Point,170,26,9,201,4681,240,2989,6690,4496,6002
The Goldfinch,143,4178,4697,5161,1174,6799,494,2037,4388,8690
Thirteen Reasons Why,74,1421,564,149,2908,8170,68,1575,1244,1919
Girl with a Pearl Earring,3352,7418,1466,3322,33,273,1011,6299,1171,733
"If I Stay (If I Stay, #1)",475,348,2838,2454,921,2876,827,2450,147,2908
The Red Tent,1011,1909,57,11,67,46,2114,567,1171,148
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",214,41,159,175,3220,2420,163,4911,294,9740
Dear John,552,716,420,44,571,622,683,686,107,1459
"City of Ashes (The Mortal Instruments, #2)",134,51,309,319,607,1754,351,183,6977,9190
Macbeth,125,353,714,387,29,839,248,456,770,855
"The Two Towers (The Lord of the Rings, #2)",161,189,19,7,964,466,4410,4445,2230,4229
"Something Borrowed (Darcy & Rachel, #1)",455,647,465,78,1111,694,310,1417,777,228
Green Eggs and Ham,251,798,1348,358,85,364,391,545,102,278
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",373,335,416,184,59,1938,1662,444,2741,868
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",175,214,151,41,2420,163,3220,294,4449,4911
Great Expectations,83,590,361,5907,63,204,2846,961,58,650
"The Return of the King (The Lord of the Rings, #3)",155,19,189,7,964,466,4410,4445,2230,3120
The Stranger,872,2024,614,1624,1015,1364,4106,3020,4584,213
"The Lost Hero (The Heroes of Olympus, #1)",175,159,294,2420,4449,684,214,428,1027,151
Eleanor & Park,324,5105,1767,837,991,940,2908,6466,5900,5320
"A Feast for Crows (A Song of Ice and Fire, #4)",110,135,39,1496,1995,188,3298,3775,2527,7127
"Matched (Matched, #1)",655,1054,525,1118,2294,280,1413,6266,6773,1276
"American Gods (American Gods, #1)",666,322,283,377,2674,2170,282,312,3521,8893
The Stand,176,488,1292,739,243,4885,237,1868,1248,72
The Last Song,302,152,107,44,622,716,571,286,552,683
Digital Fortress,145,9,26,201,240,6690,2989,640,1057,343
Emma,230,10,451,471,76,42,43,997,4653,160
Anna Karenina,498,2709,899,2240,2419,468,4684,829,9281,7620
A Clockwork Orange,13,65,55,297,129,809,846,48,2098,3131
The Shack,903,51,2410,5867,4562,1697,1918,3576,4316,73
"The Last Olympian (Percy Jackson and the Olympians, #5)",159,214,163,151,2420,41,294,4449,3220,428
It,243,237,305,556,168,675,349,488,1292,739
Crime and Punishment,1041,485,2177,4104,1364,2131,4106,1518,9561,498
The Bell Jar,95,48,80,55,1444,557,271,2328,664,65
"Angela's Ashes (Frank McCourt, #1)",81,317,82,1068,8843,737,2252,5394,87,3561
Siddhartha,3085,2097,498,899,162,1015,1161,576,6195,9864
In Cold Blood,975,8323,2592,6932,6693,5225,82,538,217,5518
"Beautiful Creatures (Caster Chronicles, #1)",1147,1425,2358,8958,2201,4204,5857,5224,4572,5757
"Clockwork Angel (The Infernal Devices, #1)",351,460,607,134,309,1754,153,319,51,6977
Matilda,158,373,416,335,59,868,545,444,1383,999
The Night Circus,2899,1474,5409,760,2558,8643,7454,2293,742,4193
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",1501,700,3729,33,1537,2710,4113,642,273,7775
"Uglies (Uglies, #1)",519,781,1398,8197,280,711,2711,5810,6952,383
"A Dance with Dragons (A Song of Ice and Fire, #5)",3775,4006,2149,1995,135,110,165,4708,39,6497
"The Lord of the Rings (The Lord of the Rings, #1-3)",7,155,161,19,964,4445,2230,2125,3120,466
Wild: From Lost to Found on the Pacific Crest Trail,8843,4824,2565,3561,7768,5394,3822,1156,9203,9700
Watchmen,1950,568,6445,129,365,2760,3248,2300,532,3995
"The Name of the Wind (The Kingkiller Chronicle, #1)",307,389,4182,8460,746,7788,8154,6891,377,565
Outliers: The Story of Success,127,211,92,1344,892,1371,1621,4309,878,7111
"Moby-Dick or, The Whale",2601,130,529,597,58,395,83,1434,71,113
The Guernsey Literary and Potato Peel Pie Society,906,396,31,4068,513,3143,2598,57,6009,273
Fight Club,484,951,3131,326,13,1124,788,768,1176,809
"Dead Until Dark (Sookie Stackhouse, #1)",527,558,563,631,624,652,724,748,871,1201
The Color Purple,317,468,5260,860,664,272,523,118,4,225
Marley and Me: Life and Love With the World's Worst Dog,8053,5454,114,994,1897,9629,6495,5658,1515,8691
And Then There Were None,672,1410,4728,5858,7991,5861,5665,1741,6078,9469
"The Lost Symbol (Robert Langdon, #3)",240,9,26,170,145,7761,4496,4962,7139,6690
"Hush, Hush (Hush, Hush, #1)",434,583,1122,224,2410,600,945,1559,6178,1276
"Beautiful Disaster (Beautiful, #1)",861,3192,2692,812,539,334,1036,1773,1295,2185
A Christmas Carol,361,116,103,3323,83,93,42,590,1178,413
"Interview with the Vampire (The Vampire Chronicles, #1)",696,898,1993,5290,1533,9044,8194,5928,8683,9334
"The Selection (The Selection, #1)",506,423,2532,2179,1062,5712,4195,5974,8869,1523
"One for the Money (Stephanie Plum, #1)",912,1151,1226,1067,996,1627,1390,1694,1181,1606
The Immortal Life of Henrietta Lacks,1851,1577,2788,3491,754,852,4725,5269,398,7259
"The Silence of the Lambs  (Hannibal Lecter, #2)",431,726,6376,9832,1176,72,274,975,7601,168
"Vampire Academy (Vampire Academy, #1)",384,394,419,543,418,759,3095,1890,1416,2997
Blink: The Power of Thinking Without Thinking,127,193,1371,4744,92,4356,5761,2444,1344,4117
Atonement,820,1005,264,1681,113,1435,2600,453,2107,217
The Metamorphosis,162,614,2297,4939,4016,1364,3755,3020,65,3482
"The Titan's Curse (Percy Jackson and the Olympians, #3)",151,159,41,175,3220,2420,163,294,4911,9740
Ready Player One,5575,5186,4864,9739,5040,6640,9701,6730,1341,4674
The Art of Racing in the Rain,8691,1471,8528,7154,7403,67,46,11,333,8902
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",6693,8323,181,2950,2175,4153,2592,7738,5518,4811
"Bared to You (Crossfire, #1)",334,2483,3549,676,796,1143,1104,7051,3863,6098
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",332,292,347,37,641,117,1196,362,1937,1253
Twilight: The Complete Illustrated Movie Companion,636,834,52,992,49,3,1109,2021,3075,1609
"A Child Called ""It"" (Dave Pelzer #1)",1897,5394,3831,3811,7129,6939,5798,8843,6637,4274
"The Bourne Identity (Jason Bourne, #1)",588,1963,2789,3925,288,8631,9333,3709,628,989
"Artemis Fowl (Artemis Fowl, #1)",918,1137,1172,7919,377,1397,1298,666,1155,9424
"Fallen (Fallen, #1)",600,945,1559,434,202,4456,8749,1830,583,4393
East of Eden,1161,32,131,4,265,413,650,66,116,395
Dark Places,244,30,2617,1941,2396,262,2169,801,61,2307
The Client,281,343,123,596,1388,963,86,833,1037,1057
"The Nanny Diaries (Nanny, #1)",78,136,5397,1457,75,455,1430,1111,156,1468
Alice's Adventures in Wonderland & Through the Looking-Glass,257,518,826,792,95,1327,4291,4271,346,877
Persuasion,171,10,451,471,76,42,43,997,93,8740
Sarah's Key,3772,1300,4062,1051,300,2796,1216,273,396,482
"The Gunslinger (The Dark Tower, #1)",612,725,806,953,1053,936,2713,1698,915,7127
Love in the Time of Cholera,1853,2419,94,3703,7277,2190,8782,9247,1509,3387
Speak,9361,5260,3723,8170,3919,77,8543,2787,2980,2695
The Husband's Secret,262,940,1028,313,939,438,1834,2872,2617,2350
Into Thin Air: A Personal Account of the Mount Everest Disaster,2436,82,1927,9100,6251,767,6654,7302,1048,179
Carrie,305,243,556,176,675,349,1292,705,1123,865
Running with Scissors,1102,2288,81,1068,383,1856,179,3811,895,2252
World War Z: An Oral History of the Zombie War,1056,6555,2819,742,1628,70,7765,8643,4995,3319
"Inferno (Robert Langdon, #4)",201,7139,7821,4496,811,9,8335,7004,2989,3005
Number the Stars,77,245,321,793,59,853,7806,594,1742,87
"Along Came a Spider (Alex Cross, #1)",2214,266,2012,2398,2277,2184,2547,2737,2981,3163
Misery,305,556,176,237,675,488,349,705,670,1292
Sharp Objects,226,5080,1176,7601,4066,4700,209,9348,30,262
Bridge to Terabithia,59,77,321,241,793,386,577,335,999,158
"Marked (House of Night, #1)",643,491,449,783,814,805,1958,2986,1093,4038
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,3413,260,1157,932,5610,4748,1750,2660,680,1188
A Midsummer Night's Dream,530,839,855,1885,353,125,773,427,714,3948
Extremely Loud and Incredibly Close,587,45,74,2914,867,564,5177,3856,570,522
Wonder,6710,7181,1558,3164,1047,8521,9381,7305,4934,7757
The Cat in the Hat,157,358,798,364,1348,3047,5303,3274,85,391
"Cinder (The Lunar Chronicles, #1)",774,1353,5118,2254,581,9130,2626,2734,7535,842
"The Cuckoo's Calling (Cormoran Strike, #1)",695,1065,4854,9931,2888,6355,1786,4144,3756,4150
"Shiver (The Wolves of Mercy Falls, #1)",957,1585,1201,8443,6771,871,3875,748,1276,1273
Atlas Shrugged,287,8688,903,4298,4992,655,6300,4399,1517,376
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,1479,6285,2777,550,723,4233,6368,3831,7001,925
Alice in Wonderland,229,518,2125,1327,826,95,4291,877,4445,4275
"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",417,1467,5022,9717,2833,1256,6194,669,47,9424
"The Scorch Trials (Maze Runner, #2)",376,91,946,327,5308,5662,4024,4705,12,6722
How to Win Friends and Influence People,2329,247,1705,3542,9375,5675,1078,1750,2660,5796
Under the Tuscan Sun,8659,8537,7770,6351,2063,5573,7375,3831,5383,3212
Big Little Lies,235,1028,940,1834,438,1804,613,1442,939,4900
Ella Enchanted,1175,3132,6756,2642,4311,5632,3593,1452,4069,6628
The Sun Also Rises,395,401,3255,3126,113,130,2304,6273,1184,65
A Tree Grows in Brooklyn,4,42,93,270,225,66,540,899,1094,1957
"Kiss the Girls (Alex Cross, #2)",242,2214,2012,2398,2184,2277,2737,2547,2981,3066
The Nightingale,2772,2796,1192,4988,313,1406,3962,459,2350,318
Never Let Me Go,13,48,820,55,8079,2945,809,6726,5076,1074
P.S. I Love You,3011,2610,2408,44,1913,5305,455,107,152,420
Rebecca,265,66,1094,559,93,103,1064,417,997,42
Flowers for Algernon,48,87,4,14,28,95,846,55,32,90
Like Water for Chocolate,669,1131,5198,2419,2367,198,118,733,925,8295
Snow Flower and the Secret Fan,848,1714,3311,5648,5297,4057,33,57,825,7458
The Godfather,6259,1176,209,769,1100,8976,7293,514,989,4774
An Abundance of Katherines,74,88,4166,564,3919,1767,5589,6565,8320,1789
Foundation (Foundation #1),789,890,1223,5782,2196,3072,4585,2646,2624,432
The Ocean at the End of the Lane,322,312,282,377,2170,666,2674,4987,167,5439
A Light in the Attic,50,85,786,4862,157,545,8455,364,358,1383
"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",6428,7523,7443,4782,5352,933,2896,7272,4641,4591
"Delirium (Delirium, #1)",525,1118,655,69,7013,166,12,327,2799,1054
The Pelican Brief,123,227,963,596,1057,343,1388,86,833,1037
Coraline,322,377,312,666,2674,283,277,3521,167,2170
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",666,167,322,2674,377,2170,429,282,8841,312
On the Road,1250,162,8212,1570,2464,1015,401,65,1312,173
"The Rosie Project (Don Tillman, #1)",940,262,438,9973,4467,7431,7979,208,9787,566
The Lucky One,302,821,716,1098,571,1414,152,552,622,1459
The Fountainhead,255,903,4298,8688,655,4399,4992,6300,1517,1054
"The Hunt for Red October (Jack Ryan Universe, #4)",628,785,2859,2242,2730,1643,2666,1972,222,5655
"Watership Down (Watership Down, #1)",375,1431,48,2489,826,1695,2002,1020,755,4182
Is Everyone Hanging Out Without Me? (And Other Concerns),106,1044,2335,352,3885,3822,4852,4824,9651,1162
Cutting for Stone,697,906,143,1990,359,779,673,836,1539,2411
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",347,602,542,641,37,332,5229,3795,219,2957
Treasure Island,1327,116,413,1695,706,58,1178,2361,529,699
"The Son of Neptune (The Heroes of Olympus, #2)",428,684,1027,175,159,163,3526,1359,214,2420
11/22/63,3756,1182,1490,794,2422,488,623,9360,739,1736
The Very Hungry Caterpillar Board Book,549,339,661,905,157,545,391,85,102,679
Cat's Cradle,65,405,1074,2098,3068,4326,1620,3403,54,48
The Time Machine,972,699,1204,547,95,706,413,529,637,1327
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,1277,1097,1006,1925,2222,6782,8113,5234,1897,5285
The Boy in the Striped Pajamas,47,241,4062,727,762,5587,3772,5589,231,87
Heart of Darkness,130,6768,264,401,14,529,58,194,395,28
Safe Haven,286,821,716,169,571,2580,622,552,152,683
"The Secret (The Secret, #1)",790,3196,370,1126,1855,909,1359,214,41,1506
I Know This Much Is True,306,326,46,30,196,67,11,47,124,1586
Pet Sematary,243,556,237,176,675,349,578,705,1292,553
She's Come Undone,304,326,801,6201,124,1789,2193,5456,235,1317
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",192,389,562,8460,4182,565,8154,862,6891,5414
Can You Keep a Secret?,411,634,509,1063,761,6300,952,1594,1735,455
"City of Fallen Angels (The Mortal Instruments, #4)",134,319,153,607,51,1754,351,183,6977,460
"Good in Bed (Cannie Shapiro, #1)",465,1748,1107,4431,455,2589,647,156,78,694
The Thorn Birds,1597,1100,3971,2411,1961,66,33,1237,3772,8313
The Graveyard Book,282,377,322,666,277,2170,283,2674,3521,167
The Light Between Oceans,318,2350,482,7096,437,235,7914,2088,333,2872
"Inkheart (Inkworld, #1)",1298,1391,1155,1554,2125,817,1323,2619,1968,3910
Who Moved My Cheese?,1157,4748,1446,1189,247,680,6426,4404,1330,3361
A Walk in the Woods,1460,1449,2279,2321,6351,1976,6453,8789,9100,6157
I Know Why the Caged Bird Sings,765,1068,15,468,87,2643,179,1691,81,6884
Orphan Train,313,2350,2872,4988,567,333,267,482,7914,112
"City of Lost Souls (The Mortal Instruments, #5)",309,134,153,607,51,1754,6977,351,183,9190
"Where'd You Go, Bernadette",4178,9830,993,359,1941,143,8686,795,9881,3134
Where the Red Fern Grows,245,59,241,3886,77,1493,386,4,1742,540
Neverwhere,377,666,167,282,283,312,2674,2170,3521,277
The Unbearable Lightness of Being,2926,3913,9460,4531,5374,5792,7810,65,7022,483
Fangirl,164,991,2104,1004,2161,1297,3372,2908,3345,830
A Prayer for Owen Meany,476,704,3557,3692,1256,2854,225,1238,1094,9691
White Oleander,304,196,2820,3311,46,2630,795,1176,67,1083
"Legend (Legend, #1)",1002,713,6805,2799,5308,91,5488,4705,3337,2884
Nineteen Minutes,1842,331,1685,1149,908,2991,1426,2433,1101,616
The Last Lecture,1440,6348,3905,7131,784,9347,114,3122,6885,513
"The Eye of the World (Wheel of Time, #1)",528,722,510,949,1023,1278,2056,1119,1362,1249
The Pact,1685,1149,2633,2991,2433,1842,1426,328,2883,1101
"The Magician's Nephew (Chronicles of Narnia, #6)",641,347,292,602,219,542,37,117,362,5229
Still Alice,1814,31,313,459,46,318,3173,567,4491,250
"Reflected in You (Crossfire, #2)",218,796,3549,676,2483,1143,3863,7051,6098,4373
James and the Giant Peach,158,373,416,1938,184,59,1662,868,545,999
"1st to Die (Women's Murder Club, #1)",1763,1379,2568,2261,1858,2773,3517,3622,3801,3163
The Ultimate Hitchhiker's Guide to the Galaxy,54,599,751,5072,1727,1074,3358,1042,1014,637
One Day,6830,6288,273,4938,7137,5067,7244,567,7895,1481
Goodnight Moon,296,549,579,679,545,863,157,444,391,85
"I Am Number Four (Lorien Legacies, #1)",1716,1008,4002,2599,7554,6815,8459,6911,5965,4587
The Iliad,79,1280,2142,977,1167,2366,984,531,4149,3022
The Casual Vacancy,653,5032,2058,4610,698,1090,1164,695,5620,7710
The Runaway Jury,227,596,1388,281,833,963,1037,1057,123,1733
Naked,372,101,534,943,1923,2579,1856,6829,8045,1839
"Eldest (The Inheritance Cycle, #2)",447,53,648,923,4603,1634,3989,3636,9636,3052
"The Wonderful Wizard of Oz (Oz, #1)",93,518,7737,540,1327,9532,1253,826,444,3306
"Prince Caspian (Chronicles of Narnia, #2)",292,602,641,542,332,37,5229,3795,219,2957
We Were Liars,149,2876,9942,3039,6705,6226,445,475,2194,2161
'Salem's Lot,670,72,675,553,237,243,1292,305,556,176
Fear and Loathing in Las Vegas,1570,1955,788,5122,7563,65,297,846,2703,914
"Clockwork Prince (The Infernal Devices, #2)",183,460,607,134,309,153,1754,6977,319,3704
Yes Please,2335,290,106,1044,3822,6170,4852,4734,5663,3885
